epoka 236/1000   błąd=0.111364 
epoka 237/1000   błąd=0.111363 
epoka 238/1000   błąd=0.111363 
epoka 239/1000   błąd=0.111363 
epoka 240/1000   błąd=0.111363 
epoka 241/1000   błąd=0.111363 
epoka 242/1000   błąd=0.111363 
epoka 243/1000   błąd=0.111362 
epoka 244/1000   błąd=0.111362 
epoka 245/1000   błąd=0.111362 
epoka 246/1000   błąd=0.111362 
epoka 247/1000   błąd=0.111362 
epoka 248/1000   błąd=0.111362 
epoka 249/1000   błąd=0.111361 
epoka 250/1000   błąd=0.111361 
epoka 251/1000   błąd=0.111361 
epoka 252/1000   błąd=0.111361 
epoka 253/1000   błąd=0.111361 
epoka 254/1000   błąd=0.111360 
epoka 255/1000   błąd=0.111360 
epoka 256/1000   błąd=0.111360 
epoka 257/1000   błąd=0.111360 
epoka 258/1000   błąd=0.111360 
epoka 259/1000   błąd=0.111359 
epoka 260/1000   błąd=0.111359 
epoka 261/1000   błąd=0.111359 
epoka 262/1000   błąd=0.111359 
epoka 263/1000   błąd=0.111358 
epoka 264/1000   błąd=0.111358 
epoka 265/1000   błąd=0.111358 
epoka 266/1000   błąd=0.111358 
epoka 267/1000   błąd=0.111357 
epoka 268/1000   błąd=0.111357 
epoka 269/1000   błąd=0.111357 
epoka 270/1000   błąd=0.111356 
epoka 271/1000   błąd=0.111356 
epoka 272/1000   błąd=0.111356 
epoka 273/1000   błąd=0.111356 
epoka 274/1000   błąd=0.111355 
epoka 275/1000   błąd=0.111355 
epoka 276/1000   błąd=0.111355 
epoka 277/1000   błąd=0.111354 
epoka 278/1000   błąd=0.111354 
epoka 279/1000   błąd=0.111354 
epoka 280/1000   błąd=0.111353 
epoka 281/1000   błąd=0.111353 
epoka 282/1000   błąd=0.111353 
epoka 283/1000   błąd=0.111352 
epoka 284/1000   błąd=0.111352 
epoka 285/1000   błąd=0.111352 
epoka 286/1000   błąd=0.111351 
epoka 287/1000   błąd=0.111351 
epoka 288/1000   błąd=0.111350 
epoka 289/1000   błąd=0.111350 
epoka 290/1000   błąd=0.111350 
epoka 291/1000   błąd=0.111349 
epoka 292/1000   błąd=0.111349 
epoka 293/1000   błąd=0.111348 
epoka 294/1000   błąd=0.111348 
epoka 295/1000   błąd=0.111347 
epoka 296/1000   błąd=0.111347 
epoka 297/1000   błąd=0.111346 
epoka 298/1000   błąd=0.111346 
epoka 299/1000   błąd=0.111346 
epoka 300/1000   błąd=0.111345 
epoka 301/1000   błąd=0.111345 
epoka 302/1000   błąd=0.111344 
epoka 303/1000   błąd=0.111344 
epoka 304/1000   błąd=0.111343 
epoka 305/1000   błąd=0.111343 
epoka 306/1000   błąd=0.111342 
epoka 307/1000   błąd=0.111341 
epoka 308/1000   błąd=0.111341 
epoka 309/1000   błąd=0.111340 
epoka 310/1000   błąd=0.111340 
epoka 311/1000   błąd=0.111339 
epoka 312/1000   błąd=0.111339 
epoka 313/1000   błąd=0.111338 
epoka 314/1000   błąd=0.111338 
epoka 315/1000   błąd=0.111337 
epoka 316/1000   błąd=0.111336 
epoka 317/1000   błąd=0.111336 
epoka 318/1000   błąd=0.111335 
epoka 319/1000   błąd=0.111335 
epoka 320/1000   błąd=0.111334 
epoka 321/1000   błąd=0.111333 
epoka 322/1000   błąd=0.111333 
epoka 323/1000   błąd=0.111332 
epoka 324/1000   błąd=0.111331 
epoka 325/1000   błąd=0.111331 
epoka 326/1000   błąd=0.111330 
epoka 327/1000   błąd=0.111330 
epoka 328/1000   błąd=0.111329 
epoka 329/1000   błąd=0.111328 
epoka 330/1000   błąd=0.111328 
epoka 331/1000   błąd=0.111327 
epoka 332/1000   błąd=0.111326 
epoka 333/1000   błąd=0.111326 
epoka 334/1000   błąd=0.111325 
epoka 335/1000   błąd=0.111324 
epoka 336/1000   błąd=0.111324 
epoka 337/1000   błąd=0.111323 
epoka 338/1000   błąd=0.111322 
epoka 339/1000   błąd=0.111322 
epoka 340/1000   błąd=0.111321 
epoka 341/1000   błąd=0.111320 
epoka 342/1000   błąd=0.111319 
epoka 343/1000   błąd=0.111319 
epoka 344/1000   błąd=0.111318 
epoka 345/1000   błąd=0.111317 
epoka 346/1000   błąd=0.111317 
epoka 347/1000   błąd=0.111316 
epoka 348/1000   błąd=0.111315 
epoka 349/1000   błąd=0.111315 
epoka 350/1000   błąd=0.111314 
epoka 351/1000   błąd=0.111313 
epoka 352/1000   błąd=0.111312 
epoka 353/1000   błąd=0.111312 
epoka 354/1000   błąd=0.111311 
epoka 355/1000   błąd=0.111310 
epoka 356/1000   błąd=0.111310 
epoka 357/1000   błąd=0.111309 
epoka 358/1000   błąd=0.111308 
epoka 359/1000   błąd=0.111307 
epoka 360/1000   błąd=0.111307 
epoka 361/1000   błąd=0.111306 
epoka 362/1000   błąd=0.111305 
epoka 363/1000   błąd=0.111304 
epoka 364/1000   błąd=0.111304 
epoka 365/1000   błąd=0.111303 
epoka 366/1000   błąd=0.111302 
epoka 367/1000   błąd=0.111301 
epoka 368/1000   błąd=0.111300 
epoka 369/1000   błąd=0.111300 
epoka 370/1000   błąd=0.111299 
epoka 371/1000   błąd=0.111298 
epoka 372/1000   błąd=0.111297 
epoka 373/1000   błąd=0.111297 
epoka 374/1000   błąd=0.111296 
epoka 375/1000   błąd=0.111295 
epoka 376/1000   błąd=0.111294 
epoka 377/1000   błąd=0.111293 
epoka 378/1000   błąd=0.111292 
epoka 379/1000   błąd=0.111292 
epoka 380/1000   błąd=0.111291 
epoka 381/1000   błąd=0.111290 
epoka 382/1000   błąd=0.111289 
epoka 383/1000   błąd=0.111288 
epoka 384/1000   błąd=0.111287 
epoka 385/1000   błąd=0.111286 
epoka 386/1000   błąd=0.111286 
epoka 387/1000   błąd=0.111285 
epoka 388/1000   błąd=0.111284 
epoka 389/1000   błąd=0.111283 
epoka 390/1000   błąd=0.111282 
epoka 391/1000   błąd=0.111281 
epoka 392/1000   błąd=0.111280 
epoka 393/1000   błąd=0.111279 
epoka 394/1000   błąd=0.111278 
epoka 395/1000   błąd=0.111277 
epoka 396/1000   błąd=0.111276 
epoka 397/1000   błąd=0.111275 
epoka 398/1000   błąd=0.111274 
epoka 399/1000   błąd=0.111273 
epoka 400/1000   błąd=0.111272 
epoka 401/1000   błąd=0.111271 
epoka 402/1000   błąd=0.111270 
epoka 403/1000   błąd=0.111269 
epoka 404/1000   błąd=0.111268 
epoka 405/1000   błąd=0.111267 
epoka 406/1000   błąd=0.111265 
epoka 407/1000   błąd=0.111264 
epoka 408/1000   błąd=0.111263 
epoka 409/1000   błąd=0.111262 
epoka 410/1000   błąd=0.111260 
epoka 411/1000   błąd=0.111259 
epoka 412/1000   błąd=0.111258 
epoka 413/1000   błąd=0.111256 
epoka 414/1000   błąd=0.111255 
epoka 415/1000   błąd=0.111253 
epoka 416/1000   błąd=0.111251 
epoka 417/1000   błąd=0.111250 
epoka 418/1000   błąd=0.111248 
epoka 419/1000   błąd=0.111246 
epoka 420/1000   błąd=0.111244 
epoka 421/1000   błąd=0.111242 
epoka 422/1000   błąd=0.111240 
epoka 423/1000   błąd=0.111238 
epoka 424/1000   błąd=0.111236 
epoka 425/1000   błąd=0.111233 
epoka 426/1000   błąd=0.111231 
epoka 427/1000   błąd=0.111228 
epoka 428/1000   błąd=0.111225 
epoka 429/1000   błąd=0.111222 
epoka 430/1000   błąd=0.111219 
epoka 431/1000   błąd=0.111215 
epoka 432/1000   błąd=0.111212 
epoka 433/1000   błąd=0.111208 
epoka 434/1000   błąd=0.111204 
epoka 435/1000   błąd=0.111200 
epoka 436/1000   błąd=0.111195 
epoka 437/1000   błąd=0.111190 
epoka 438/1000   błąd=0.111184 
epoka 439/1000   błąd=0.111179 
epoka 440/1000   błąd=0.111172 
epoka 441/1000   błąd=0.111165 
epoka 442/1000   błąd=0.111158 
epoka 443/1000   błąd=0.111150 
epoka 444/1000   błąd=0.111141 
epoka 445/1000   błąd=0.111131 
epoka 446/1000   błąd=0.111120 
epoka 447/1000   błąd=0.111109 
epoka 448/1000   błąd=0.111095 
epoka 449/1000   błąd=0.111081 
epoka 450/1000   błąd=0.111064 
epoka 451/1000   błąd=0.111046 
epoka 452/1000   błąd=0.111025 
epoka 453/1000   błąd=0.111002 
epoka 454/1000   błąd=0.110975 
epoka 455/1000   błąd=0.110944 
epoka 456/1000   błąd=0.110909 
epoka 457/1000   błąd=0.110868 
epoka 458/1000   błąd=0.110821 
epoka 459/1000   błąd=0.110765 
epoka 460/1000   błąd=0.110700 
epoka 461/1000   błąd=0.110622 
epoka 462/1000   błąd=0.110531 
epoka 463/1000   błąd=0.110422 
epoka 464/1000   błąd=0.110293 
epoka 465/1000   błąd=0.110138 
epoka 466/1000   błąd=0.109954 
epoka 467/1000   błąd=0.109736 
epoka 468/1000   błąd=0.109476 
epoka 469/1000   błąd=0.109169 
epoka 470/1000   błąd=0.108808 
epoka 471/1000   błąd=0.108382 
epoka 472/1000   błąd=0.107882 
epoka 473/1000   błąd=0.107296 
epoka 474/1000   błąd=0.106612 
epoka 475/1000   błąd=0.105817 
epoka 476/1000   błąd=0.104905 
